data_id,value,num_item_id,age,comprehension,production,language,form,birth_order,ethnicity,sex,zygosity,norming,mom_ed,longitudinal,source_name,license,item_id,definition,type,category,lexical_category,lexical_class,sound,complexity_category,produces,understands
145913,,36,18,150,109,English (American),WG,Second,White,Female,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145914,,36,18,185,18,English (American),WG,First,White,Male,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145915,produces,36,18,224,104,English (American),WG,Second,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145916,understands,36,18,209,125,English (American),WG,First,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145917,,36,18,283,129,English (American),WG,First,White,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145918,understands,36,17,324,65,English (American),WG,Second,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145919,,36,17,189,60,English (American),WG,First,White,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145920,,36,17,143,32,English (American),WG,First,White,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145921,produces,36,17,297,39,English (American),WG,Second,Asian,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145922,,36,17,73,13,English (American),WG,Fourth,White,Male,NA,TRUE,Some Graduate,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145923,understands,36,17,183,31,English (American),WG,First,White,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145924,understands,36,17,169,61,English (American),WG,First,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145925,,36,18,269,44,English (American),WG,Second,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145926,,36,18,236,92,English (American),WG,Third,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145927,produces,36,18,90,22,English (American),WG,First,White,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145928,produces,36,17,90,22,English (American),WG,Second,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145929,,36,18,128,35,English (American),WG,First,White,Male,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145930,understands,36,17,287,79,English (American),WG,First,White,Female,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145931,understands,36,17,327,18,English (American),WG,First,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145932,understands,36,18,272,124,English (American),WG,Second,White,Female,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145933,,36,18,238,118,English (American),WG,First,White,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145934,understands,36,18,268,36,English (American),WG,Third,White,Male,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145935,,36,17,208,145,English (American),WG,First,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145936,produces,36,18,395,235,English (American),WG,First,White,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145937,produces,36,17,261,174,English (American),WG,First,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145938,understands,36,17,200,83,English (American),WG,Second,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145939,,36,17,163,2,English (American),WG,First,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145940,understands,36,18,276,149,English (American),WG,Second,White,Female,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145941,,36,17,197,27,English (American),WG,First,White,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145942,understands,36,17,269,73,English (American),WG,Second,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145943,understands,36,17,275,110,English (American),WG,Second,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145944,produces,36,17,255,70,English (American),WG,First,White,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145945,,36,18,124,23,English (American),WG,First,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145946,,36,17,274,114,English (American),WG,First,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145947,,36,17,144,23,English (American),WG,Second,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145948,produces,36,17,279,103,English (American),WG,First,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145949,,36,17,203,82,English (American),WG,NA,White,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145950,understands,36,18,363,165,English (American),WG,First,White,Female,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145951,understands,36,17,275,79,English (American),WG,First,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145952,produces,36,17,278,164,English (American),WG,First,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145953,understands,36,18,323,66,English (American),WG,Second,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145954,,36,17,279,46,English (American),WG,Second,White,Female,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145955,,36,17,213,48,English (American),WG,Second,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145956,understands,36,18,210,36,English (American),WG,Second,White,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145957,understands,36,18,261,49,English (American),WG,First,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145958,,36,17,251,15,English (American),WG,Third,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145959,understands,36,18,231,19,English (American),WG,First,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145960,,36,17,142,23,English (American),WG,Second,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145961,understands,36,17,230,9,English (American),WG,First,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145962,,36,17,98,16,English (American),WG,First,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145963,produces,36,18,290,67,English (American),WG,First,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145964,understands,36,18,292,92,English (American),WG,First,Asian,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145965,understands,36,18,241,35,English (American),WG,Second,White,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145966,produces,36,17,297,45,English (American),WG,Second,White,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145967,,36,18,68,12,English (American),WG,Third,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145968,,36,18,190,46,English (American),WG,Third,White,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145969,,36,17,127,45,English (American),WG,Third,White,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145970,,36,17,207,20,English (American),WG,First,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145971,produces,36,18,336,262,English (American),WG,First,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145972,understands,36,17,221,91,English (American),WG,Second,White,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
145973,,36,18,174,11,English (American),WG,Second,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145974,produces,36,17,340,293,English (American),WG,Fourth,Asian,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145975,,36,18,129,7,English (American),WG,First,White,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145976,produces,36,18,244,24,English (American),WG,Second,White,Male,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145977,produces,36,18,278,151,English (American),WG,First,White,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145978,produces,36,17,304,198,English (American),WG,First,White,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,TRUE,TRUE
145979,,36,18,161,40,English (American),WG,First,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,FALSE
145980,understands,36,17,178,26,English (American),WG,First,White,Female,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_36,cockadoodledoo,word,sounds,other,other,cockadoodledoo,,FALSE,TRUE
