age,animal_word,kids_produced_either,kids_responded,prop_produced
16,cat,565,956,0.5910041841004184
16,chicken,83,956,0.08682008368200837
16,dog,684,956,0.7154811715481172
17,cat,158,273,0.5787545787545788
17,chicken,31,273,0.11355311355311355
17,dog,202,273,0.73992673992674
18,cat,317,442,0.7171945701357466
18,chicken,112,442,0.25339366515837103
18,dog,365,442,0.8257918552036199
19,cat,259,328,0.7896341463414634
19,chicken,96,328,0.2926829268292683
19,dog,281,328,0.8567073170731707
20,cat,220,274,0.8029197080291971
20,chicken,99,274,0.3613138686131387
20,dog,238,274,0.8686131386861314
21,cat,159,203,0.7832512315270936
21,chicken,83,203,0.4088669950738916
21,dog,173,203,0.8522167487684729
22,cat,175,200,0.875
22,chicken,110,200,0.55
22,dog,181,200,0.905
23,cat,242,262,0.9236641221374046
23,chicken,157,262,0.5992366412213741
23,dog,253,262,0.9656488549618321
24,cat,529,583,0.9073756432246999
24,chicken,392,583,0.6723842195540308
24,dog,552,583,0.9468267581475128
25,cat,311,333,0.933933933933934
25,chicken,226,333,0.6786786786786787
25,dog,322,333,0.9669669669669669
26,cat,177,181,0.9779005524861878
26,chicken,139,181,0.7679558011049724
26,dog,180,181,0.994475138121547
27,cat,186,195,0.9538461538461539
27,chicken,156,195,0.8
27,dog,191,195,0.9794871794871794
28,cat,785,797,0.9849435382685069
28,chicken,704,797,0.8833124215809285
28,dog,793,797,0.9949811794228356
29,cat,196,198,0.98989898989899
29,chicken,163,198,0.8232323232323232
29,dog,193,198,0.9747474747474747
30,cat,291,295,0.9864406779661017
30,chicken,266,295,0.9016949152542373
30,dog,292,295,0.9898305084745763
