title,artist,artist_bio,artist_birth_year,artist_death_year,num_artists,n_female_artists,n_male_artists,artist_gender,year_acquired,year_created,circumference_cm,depth_cm,diameter_cm,height_cm,length_cm,width_cm,seat_height_cm,purchase,gift,exchange,classification,department
"Rope and People, I",Joan Miró,"(Spanish, 1893–1983)",1893,1983,1,0,1,Male,1936,1935,NA,NA,NA,104.8,NA,74.6,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Fire in the Evening,Paul Klee,"(German, born Switzerland. 1879–1940)",1879,1940,1,0,1,Male,1970,1929,NA,NA,NA,33.8,NA,33.3,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Portrait of an Equilibrist,Paul Klee,"(German, born Switzerland. 1879–1940)",1879,1940,1,0,1,Male,1966,1927,NA,NA,NA,60.3,NA,36.8,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Guitar,Pablo Picasso,"(Spanish, 1881–1973)",1881,1973,1,0,1,Male,1955,1919,NA,NA,NA,215.9,NA,78.7,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Grandmother,Arthur Dove,"(American, 1880–1946)",1880,1946,1,0,1,Male,1939,1925,NA,NA,NA,50.8,NA,54,NA,FALSE,TRUE,TRUE,Painting,Painting & Sculpture
"""M'Amenez-y""",Francis Picabia,"(French, 1879–1953)",1879,1953,1,0,1,Male,1968,1919,NA,NA,NA,129.2,NA,89.9,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Untitled,Blinky Palermo,"(German, 1943–1977)",1943,1977,1,0,1,Male,1997,1970,NA,NA,NA,200,NA,200,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Daylight Savings Time,Pierre Roy,"(French, 1880–1950)",1880,1950,1,0,1,Male,1931,1929,NA,NA,NA,54.6,NA,38.1,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Bather,Paul Cézanne,"(French, 1839–1906)",1839,1906,1,0,1,Male,1934,1885,NA,NA,NA,127,NA,96.8,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Syntheses of Naples,Enrico Prampolini,"(Italian, 1894–1956)",1894,1956,1,0,1,Male,1941,1930,NA,NA,NA,100,NA,100.3,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Two Rabbis,Jankel Adler,"(Polish, 1895–1949)",1895,1949,1,0,1,Male,1949,1942,NA,NA,NA,86,NA,112.1,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Flame and the Diver,Jean Bazaine,"(French, 1904–2001)",1904,2001,1,0,1,Male,1957,1953,NA,NA,NA,194.9,NA,129.5,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Girl Wading,Elmer Bischoff,"(American, 1916–1991)",1916,1991,1,0,1,Male,1960,1959,NA,NA,NA,209.8,NA,172,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
"Painting, 4",Vasudeo S. Gaitonde,"(Indian, 1924–2001)",1924,2001,1,0,1,Male,1963,1962,NA,NA,NA,101.6,NA,126.6,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Voice,Barnett Newman,"(American, 1905–1970)",1905,1970,1,0,1,Male,1968,1950,NA,NA,NA,244.1,NA,268,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Plums on a Plate,Preston Dickinson,"(American, 1889–1930)",1889,1930,1,0,1,Male,1931,1926,NA,NA,NA,35.6,NA,50.8,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
"Composition in White, Black, and Red",Piet Mondrian,"(Dutch, 1872–1944)",1872,1944,1,0,1,Male,1937,1936,NA,NA,NA,102.2,NA,104.1,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Girl before a Mirror,Pablo Picasso,"(Spanish, 1881–1973)",1881,1973,1,0,1,Male,1937,1932,NA,NA,NA,162.3,NA,130.2,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Transparency,James Edward Davis,"(American, 1901–1974)",1901,1974,1,0,1,Male,1945,1944,NA,NA,NA,35.6,NA,51.1,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
Woman with a Mandolin,Georges Braque,"(French, 1882–1963)",1882,1963,1,0,1,Male,1948,1937,NA,NA,NA,130.2,NA,97.2,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
The Fitting,Francisco Borès,"(Spanish, 1898–1972)",1898,1972,1,0,1,Male,1949,1934,NA,NA,NA,184.8,NA,220.4,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
