year,gender,name,num_eaten
2017,male,Joey Chestnut,72.0
2017,female,Miki Sudo,41.0
2016,male,Joey Chestnut,70.0
2016,female,Miki Sudo,38.0
2015,male,Matthew Stonie,62.0
2015,female,Miki Sudo,38.0
2014,male,Joey Chestnut,61.0
2014,female,Miki Sudo,34.0
2013,male,Joey Chestnut,69.0
2013,female,Sonya Thomas,36.75
2012,male,Joey Chestnut,68.0
2012,female,Sonya Thomas,45.0
2011,male,Joey Chestnut,62.0
2011,female,Sonya Thomas,40.0
2010,male,Joey Chestnut,54.0
2009,male,Joey Chestnut,68.0
2008,male,Joey Chestnut,59.0
2007,male,Joey Chestnut,66.0
2006,male,Takeru Kobayashi,53.75
2005,male,Takeru Kobayashi,49.0
2004,male,Takeru Kobayashi,53.5
2003,male,Takeru Kobayashi,44.5
2002,male,Takeru Kobayashi,50.0
2001,male,Takeru Kobayashi,50.0
2000,male,Kazutoyo Arai,25.125
1999,male,Steve Keiner,20.25
1998,male,Hirofumi Nakajima,19.0
1997,male,Hirofumi Nakajima,24.5
1996,male,Ed Krachie,22.25
1995,male,Ed Krachie,19.5
1994,male,Mike Devito,20.0
1993,male,Mike Devito,17.0
1992,male,Frank Dellarosa,19.0
1991,male,Frank Dellarosa,21.5
1990,male,Mike Devito,16.0
1989,male,Jay Green,15.5
1988,male,Jay Green,10.0
1987,male,Don Wolfman,13.5
1986,male,Mark Heller,15.5
1985,male,Oscar Rodriguez,11.75
1984,male,Birgit Felden,9.5
1983,male,Emil Gomez,10.5
1982,male,Steven Abrams,11.0
1981,male,Thomas Deberry,11.0
1980,male,Paul Siderman & Joe Baldini,9.0
1979,male,Thomas Stash,19.0
1978,male,Manel Hollenback,10.0
1974,male,Roberto Muriel,10.0
1972,male,Jason Schechter,14.0
