year,gender,name,num_eaten,affiliated
2017,male,Joey Chestnut,72,current
2017,female,Miki Sudo,41,current
2016,male,Joey Chestnut,70,current
2016,female,Miki Sudo,38,current
2015,male,Matthew Stonie,62,current
2015,female,Miki Sudo,38,current
2014,male,Joey Chestnut,61,current
2014,female,Miki Sudo,34,current
2013,male,Joey Chestnut,69,current
2013,female,Sonya Thomas,36.75,current
2012,male,Joey Chestnut,68,current
2012,female,Sonya Thomas,45,current
2011,male,Joey Chestnut,62,current
2011,female,Sonya Thomas,40,current
2010,male,Joey Chestnut,54,current
2009,male,Joey Chestnut,68,current
2008,male,Joey Chestnut,59,current
2007,male,Joey Chestnut,66,current
2006,male,Takeru Kobayashi,53.75,former
2005,male,Takeru Kobayashi,49,former
2004,male,Takeru Kobayashi,53.5,former
2003,male,Takeru Kobayashi,44.5,former
2002,male,Takeru Kobayashi,50,former
2001,male,Takeru Kobayashi,50,former
2000,male,Kazutoyo Arai,25.125,not affiliated
1999,male,Steve Keiner,20.25,not affiliated
1998,male,Hirofumi Nakajima,19,not affiliated
1997,male,Hirofumi Nakajima,24.5,not affiliated
1996,male,Ed Krachie,22.25,not affiliated
1995,male,Ed Krachie,19.5,not affiliated
1994,male,Mike Devito,20,not affiliated
1993,male,Mike Devito,17,not affiliated
1992,male,Frank Dellarosa,19,not affiliated
1991,male,Frank Dellarosa,21.5,not affiliated
1990,male,Mike Devito,16,not affiliated
1989,male,Jay Green,15.5,not affiliated
1988,male,Jay Green,10,not affiliated
1987,male,Don Wolfman,13.5,not affiliated
1986,male,Mark Heller,15.5,not affiliated
1985,male,Oscar Rodriguez,11.75,not affiliated
1984,male,Birgit Felden,9.5,not affiliated
1983,male,Emil Gomez,10.5,not affiliated
1982,male,Steven Abrams,11,not affiliated
1981,male,Thomas Deberry,11,not affiliated
1980,male,Paul Siderman & Joe Baldini,9,not affiliated
1979,male,Thomas Stash,19,not affiliated
1978,male,Manel Hollenback,10,not affiliated
1974,male,Roberto Muriel,10,not affiliated
1972,male,Jason Schechter,14,not affiliated
