inventory_id,set_num,quantity
35,75911-1,1
35,75912-1,1
39,75048-1,1
39,75053-1,1
50,4515-1,1
50,4520-1,2
50,4531-1,1
71,7690-1,1
71,7691-1,1
71,7692-1,1
71,7693-1,1
71,7694-1,1
71,7695-1,1
71,7697-1,1
81,8451-1,1
81,8453-1,1
87,10233-1,1
87,88002-1,1
87,8870-1,1
87,8878-1,1
87,8879-1,1
87,8884-1,1
104,4103-1,1
104,4782-1,1
122,7238-1,1
122,7890-1,1
122,7944-1,1
131,7634-1,1
131,7635-1,1
131,7684-1,1
251,3886-2,1
263,7575-10,1
263,7575-11,1
263,7575-12,1
263,7575-13,1
263,7575-14,1
263,7575-15,1
263,7575-16,1
263,7575-17,1
263,7575-18,1
263,7575-19,1
263,7575-2,1
263,7575-20,1
263,7575-21,1
263,7575-22,1
263,7575-23,1
263,7575-24,1
263,7575-25,1
263,7575-3,1
263,7575-4,1
263,7575-5,1
263,7575-6,1
263,7575-7,1
263,7575-8,1
263,7575-9,1
305,6299-10,1
305,6299-11,1
305,6299-12,1
305,6299-13,1
305,6299-14,1
305,6299-15,1
305,6299-16,1
305,6299-17,1
305,6299-18,1
305,6299-19,1
305,6299-2,1
305,6299-20,1
305,6299-21,1
305,6299-22,1
305,6299-23,1
305,6299-24,1
305,6299-25,1
305,6299-3,1
305,6299-4,1
305,6299-5,1
305,6299-6,1
305,6299-7,1
305,6299-8,1
305,6299-9,1
309,4515-1,7
309,4520-1,5
309,4531-1,3
311,8593-1,1
311,8596-1,1
398,71010-1,1
398,71010-10,1
398,71010-11,1
398,71010-12,1
398,71010-13,1
398,71010-14,1
398,71010-15,1
398,71010-16,1
398,71010-2,1
398,71010-3,1
398,71010-4,1
398,71010-5,1
398,71010-6,1
398,71010-7,1
398,71010-8,1
398,71010-9,1
473,8756-1,1
473,8762-1,1
500,9677-1,1
500,9678-1,1
500,9679-1,1
515,3741-1,1
515,3745-1,1
525,7121-1,1
525,7151-1,1
528,6604-1,1
528,6622-1,1
528,6633-1,1
561,4515-1,1
561,4520-1,2
580,3402-1,2
580,3403-1,1
580,3406-1,1
580,3408-1,1
580,3409-1,1
612,4500-1,1
612,4504-1,1
614,9441-1,1
614,9442-1,1
614,9591-1,1
695,8607-1,1
695,8611-1,1
695,8614-1,1
695,8616-1,1
695,8618-1,1
708,4180878,1
708,8560-1,1
708,8564-1,1
710,8602-1,1
710,8606-1,1
710,8614-1,1
710,8615-1,1
710,8616-1,1
758,6712-1,1
758,6716-1,1
758,6755-1,1
766,7958-10,1
766,7958-11,1
766,7958-12,1
766,7958-13,1
766,7958-14,1
766,7958-15,1
766,7958-16,1
766,7958-17,1
766,7958-18,1
766,7958-19,1
766,7958-2,1
766,7958-20,1
766,7958-21,1
766,7958-22,1
766,7958-23,1
766,7958-24,1
766,7958-25,1
766,7958-3,1
766,7958-4,1
766,7958-5,1
766,7958-6,1
766,7958-7,1
