"Portland, Oregon Manual Bike Counts, 2000-2017",,,,,,,,,,,,,,,,,,,,,,
Sector,Site #,Location,count time,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,prior to 2000
bridge,2,Burnside Bridge,4-6pm,489,478,477,468,422,411,435,373,352,407,265,252,-,-,138,-,193,-,-
bridge,4,Sellwood Bridge,4-6pm,180,124,77,133,99,135,91,79,96,-,97,91,-,-,-,-,-,-,83
bridge,176,Morrison Bridge & SW Alder Ramp,4-6pm,133,218,236,160,157,172,-,151,-,-,-,9,-,-,-,-,-,-,23
city center,71,SW Taylor & 13th,7-9am,48,63,62,60,57,55,-,35,61,72,74,36,-,44,-,-,-,50,39
city center,72,SW Salmon & 14th (pm),4-6pm,93,112,108,100,123,127,106,133,104,108,86,74,-,-,-,-,-,42,49
city center,73,SW 6th & Jackson,7-9am,65,80,104,68,85,97,77,72,72,87,52,119,-,-,-,-,-,-,48
city center,79,SW Broadway & Jackson,4-6pm,93,99,119,109,142,83,192,136,-,-,113,103,-,-,-,-,-,69,51
city center,83,SW Waterfront Park & Harbor Way,4-6pm,456,423,629,580,535,477,441,442,-,392,290,191,204,-,-,-,-,-,163
city center,84,SW Jefferson & 13th,4-6pm,128,135,132,122,124,127,165,130,154,99,118,77,-,-,-,-,-,67,46
city center,89,SW Moody & River Parkway,4-6pm,80,89,122,451,446,401,372,331,258,340,-,144,-,-,-,191,-,-,-
city center,93,SW Waterfront Park & Ankeny,4-6pm,513,654,720,778,799,689,597,673,502,530,440,420,-,-,-,-,175,-,162
city center,94,SW Waterfront Park & Morrison,4-6pm,478,570,736,809,722,607,692,767,678,599,536,440,-,-,-,298,143,-,243
city center,119,SW Broadway & Mill,4-6pm,128,123,127,128,142,148,156,124,150,147,-,-,-,-,-,-,-,-,-
city center,146,SW Broadway & Montgomery,4-6pm,77,108,210,174,-,236,260,202,215,-,-,-,-,-,-,-,-,-,-
city center,147,SW Stark & 9th,4-6pm,146,216,224,168,192,157,151,-,-,-,-,-,-,-,-,-,-,-,-
city center,148,SW Park & Oak,4-6pm,174,157,161,142,151,155,152,129,-,-,-,-,-,-,-,-,-,-,-
city center,156,SW Broadway & Main,7-9am,204,160,190,287,239,235,251,159,-,-,-,-,-,-,-,-,-,-,-
city center,157,SW Naito & Clay,7-9am,149,148,223,-,173,195,-,-,225,-,-,-,-,-,-,-,-,-,-
city center,158,SW Main & 9th,7-9am,36,87,79,128,114,106,-,-,127,-,-,-,-,-,-,-,-,-,-
city center,159,SW Park (NB) & Market,4-6pm,55,103,53,63,58,-,73,65,-,-,-,-,-,-,-,-,-,-,-
city center,161,NW Broadway & Hoyt,4-6pm,567,573,583,567,496,520,481,-,383,-,-,-,-,-,-,-,-,-,-
city center,162,NW Broadway & Couch,4-6pm,351,391,447,466,382,308,374,357,363,-,-,-,-,-,-,-,-,-,-
