series,episode,baker,challenge,cake
1,1,Annetha,signature,cake
1,1,David,signature,cake
1,1,Edd,signature,cake
1,1,Jasminder,signature,cake
1,1,Jonathan,signature,cake
1,1,Louise,signature,cake
1,1,Miranda,signature,cake
1,1,Ruth,signature,cake
1,1,Lea,signature,cake
1,1,Mark,signature,NA
1,2,David,signature,NA
1,2,Edd,signature,NA
1,2,Jasminder,signature,NA
1,2,Jonathan,signature,NA
1,2,Miranda,signature,NA
1,2,Ruth,signature,NA
1,2,Annetha,signature,NA
1,2,Louise,signature,NA
1,2,Lea,signature,NA
1,2,Mark,signature,NA
1,3,David,signature,NA
1,3,Edd,signature,NA
1,3,Jasminder,signature,NA
1,3,Miranda,signature,NA
1,3,Ruth,signature,NA
1,3,Jonathan,signature,NA
1,3,Annetha,signature,NA
1,3,Lea,signature,NA
1,3,Louise,signature,NA
1,3,Mark,signature,NA
1,4,Edd,signature,NA
1,4,Jasminder,signature,NA
1,4,Miranda,signature,NA
1,4,Ruth,signature,NA
1,4,David,signature,NA
1,4,Annetha,signature,NA
1,4,Jonathan,signature,NA
1,4,Lea,signature,NA
1,4,Louise,signature,NA
1,4,Mark,signature,NA
1,5,Edd,signature,pie_tart
1,5,Miranda,signature,pie_tart
1,5,Ruth,signature,pie_tart
1,5,Jasminder,signature,pie_tart
1,5,Annetha,signature,NA
1,5,David,signature,NA
1,5,Jonathan,signature,NA
1,5,Lea,signature,NA
1,5,Louise,signature,NA
1,5,Mark,signature,NA
1,6,Ruth,signature,cake
1,6,Miranda,signature,cake
1,6,Edd,signature,cake
1,6,Annetha,signature,NA
1,6,David,signature,NA
1,6,Jasminder,signature,NA
1,6,Jonathan,signature,NA
1,6,Lea,signature,NA
1,6,Louise,signature,NA
1,6,Mark,signature,NA
2,1,Ben,signature,cake
2,1,Ian,signature,cake
2,1,Janet,signature,cake
2,1,Jason,signature,cake
2,1,Joanne,signature,cake
2,1,Mary-Anne,signature,cake
2,1,Robert,signature,cake
2,1,Simon,signature,cake
2,1,Urvashi,signature,cake
2,1,Yasmin,signature,cake
2,1,Keith,signature,cake
2,1,Holly,signature,cake
2,2,Ben,signature,NA
2,2,Holly,signature,NA
2,2,Ian,signature,NA
2,2,Janet,signature,NA
2,2,Joanne,signature,NA
2,2,Mary-Anne,signature,NA
2,2,Robert,signature,NA
2,2,Urvashi,signature,NA
2,2,Yasmin,signature,NA
2,2,Simon,signature,NA
2,2,Jason,signature,NA
2,2,Keith,signature,NA
2,3,Ben,signature,NA
2,3,Holly,signature,NA
2,3,Janet,signature,NA
2,3,Jason,signature,NA
2,3,Joanne,signature,NA
2,3,Mary-Anne,signature,NA
2,3,Robert,signature,NA
2,3,Ian,signature,NA
2,3,Urvashi,signature,NA
2,3,Yasmin,signature,NA
2,3,Keith,signature,NA
2,3,Simon,signature,NA
2,4,Janet,signature,NA
2,4,Joanne,signature,NA
2,4,Mary-Anne,signature,NA
2,4,Robert,signature,NA
2,4,Yasmin,signature,NA
2,4,Ben,signature,NA
2,4,Holly,signature,NA
